word,original_word,foundation,vice_virtue
medkänsla,compassion,care,virtue
empati,empathy,care,virtue
vänlighet,kindness,care,virtue
omtänksam,caring,care,virtue
generositet,generosity,care,virtue
välvilja,benevolence,care,virtue
altruism,altruism,care,virtue
medkännande,compassionate,care,virtue
uppfostran,nurture,care,virtue
mildhet,gentleness,care,virtue
vård,nurturance,care,virtue
sympati,sympathy,care,virtue
vårda,nurturing,care,virtue
moderlig,motherly,care,virtue
kärlek,love,care,virtue
välgörenhet,beneficence,care,virtue
känna empati,empathize,care,virtue
hjälpsamhet,helpfulness,care,virtue
kärleksfull,loving,care,virtue
synd,pity,care,virtue
barmhärtighet,mercy,care,virtue
vårdare,nurturer,care,virtue
medkännande,compassionately,care,virtue
vårdare,nurturers,care,virtue
omtänksamt,caringly,care,virtue
empati,empathising,care,virtue
barmhärtig,merciful,care,virtue
empati,empathizing,care,virtue
vårdar,nurtures,care,virtue
varmhjärtad,warmhearted,care,virtue
empati,empathizers,care,virtue
skydd,protectiveness,care,virtue
vårdas,nurtured,care,virtue
välvillig,benevolent,care,virtue
moderskap,mothering,care,virtue
brydde sig,cared,care,virtue
läkning,healing,care,virtue
empati,empathises,care,virtue
human,humane,care,virtue
bekvämlighet,comfort,care,virtue
bedrövad,pitied,care,virtue
älskade,loved,care,virtue
altruist,altruist,care,virtue
bryr sig,cares,care,virtue
synd,pitying,care,virtue
tröstad,comforted,care,virtue
kram,hug,care,virtue
tröstande,comforting,care,virtue
tröstande,consoling,care,virtue
medkänner,empathizes,care,virtue
sympatisera,sympathize,care,virtue
vård,care,care,virtue
vårdgivare,caregiver,care,virtue
empati,empathised,care,virtue
kramar,hugs,care,virtue
läka,heal,care,virtue
generös,generous,care,virtue
beklaga sorgen,condolences,care,virtue
moder,mothered,care,virtue
välgörenhet,charitable,care,virtue
generöst,generously,care,virtue
synd,pities,care,virtue
beklagande,condolence,care,virtue
hjälp,help,care,virtue
tröstande,consolingly,care,virtue
tröst,solace,care,virtue
mor,mother,care,virtue
botemedel,healer,care,virtue
gästfrihet,hospitality,care,virtue
välgörenhet,charity,care,virtue
empati,empathized,care,virtue
läkare,healers,care,virtue
syndigt,pityingly,care,virtue
mammor,mothers,care,virtue
barn,child,care,virtue
kärleksfullt,lovingly,care,virtue
föräldraskap,parenting,care,virtue
räddning,rescuing,care,virtue
räddare,rescuer,care,virtue
älskar,loves,care,virtue
tröstad,consoled,care,virtue
kläda,clothe,care,virtue
sympatiserande,sympathizing,care,virtue
portion,helping,care,virtue
delad,shared,care,virtue
barndom,childhood,care,virtue
mamma,mommy,care,virtue
sårbarhet,vulnerability,care,virtue
sårbarhet,vulnerability,care,virtue
hjälpare,helpers,care,virtue
älskare,lover,care,virtue
gästfri,hospitable,care,virtue
delare,sharer,care,virtue
matning,feeding,care,virtue
ammande,nursed,care,virtue
hjälpare,helper,care,virtue
säkerhet,safeness,care,virtue
sjuksköterskor,nurses,care,virtue
beskyddare,protector,care,virtue
beskyddare,protector,care,virtue
moderskap,motherhood,care,virtue
lindring,alleviation,care,virtue
sjuksköterska,nursemaid,care,virtue
skydda,safeguard,care,virtue
skydda,protect,care,virtue
skydda,protect,care,virtue
hälsosamhet,healthiness,care,virtue
skydd,protecters,care,virtue
patient,patient,care,virtue
sjuksköterska,nurse,care,virtue
sårbar,vulnerable,care,virtue
sårbar,vulnerable,care,virtue
dra nytta,benefit,care,virtue
utfodra,feed,care,virtue
barnomsorg,childcare,care,virtue
räddare,rescuers,care,virtue
kramade,hugged,care,virtue
hjälpsam,helpful,care,virtue
räddar,rescues,care,virtue
amning,nursing,care,virtue
skyddande,protecting,care,virtue
skyddande,protecting,care,virtue
läker,heals,care,virtue
barnbarn,childbearing,care,virtue
kramare,hugger,care,virtue
lättnad,relief,care,virtue
läkt,healed,care,virtue
räddade,rescued,care,virtue
patienter,patients,care,virtue
dela med sig,share,care,virtue
rädda,rescue,care,virtue
friska,healthy,care,virtue
sjukhusvistelse,hospitalise,care,virtue
sjukhusvistelse,hospitalising,care,virtue
kramar,hugging,care,virtue
barnkammare,nursery,care,virtue
friskare,healthier,care,virtue
delning,sharing,care,virtue
hjälper,helps,care,virtue
sympatisörer,sympathizers,care,virtue
sjukhus,hospitalises,care,virtue
lindrande,alleviating,care,virtue
sårad,wounded,care,virtue
sårad,wounded,care,virtue
sår,wounds,care,virtue
sår,wounds,care,virtue
sjukhus,hospitalize,care,virtue
lindra,alleviate,care,virtue
skyddande,protective,care,virtue
skydd,protection,care,virtue
skydd,protection,care,virtue
hälsa,health,care,virtue
lindra,relieve,care,virtue
sympatisör,sympathizer,care,virtue
säkerhet,safety,care,virtue
förmånstagare,beneficiary,care,virtue
hjälpte,helped,care,virtue
sjukhus,hospital,care,virtue
förlossning,childbirth,care,virtue
fördelar,benefits,care,virtue
sjukvård,healthcare,care,virtue
relievers,relievers,care,virtue
matar,feeds,care,virtue
sjukhusvistelse,hospitalization,care,virtue
gynnar,benefitting,care,virtue
lindra,relieving,care,virtue
säker,safe,care,virtue
matare,feeder,care,virtue
gynnades,benefitted,care,virtue
inlagd på sjukhus,hospitalized,care,virtue
oskadlig,unharmful,care,virtue
skyddar,protects,care,virtue
skyddar,protects,care,virtue
oskadd,unharmed,care,virtue
skydd,protecter,care,virtue
säkert,safely,care,virtue
säkert förvar,safekeeping,care,virtue
sjukhusvistelse,hospitalizing,care,virtue
sår,wounding,care,virtue
sår,wounding,care,virtue
lättnad,reliever,care,virtue
aktier,shares,care,virtue
lindrar,relieves,care,virtue
lindrar,alleviates,care,virtue
lättad,relieved,care,virtue
sjukhus,hospitalizes,care,virtue
trösta,console,care,virtue
protektorat,protectorate,care,virtue
lindrat,alleviated,care,virtue
skyddad,protected,care,virtue
skyddad,protected,care,virtue
sår,wound,care,virtue
sår,wound,care,virtue
konsoler,consoles,care,virtue
skada,harm,care,vice
lida,suffer,care,vice
ont,hurt,care,vice
skadad,harmed,care,vice
ont,hurting,care,vice
gör ont,hurts,care,vice
grym,cruel,care,vice
äventyra,endanger,care,vice
skadar,harming,care,vice
skadar,harms,care,vice
lidande,suffering,care,vice
hota,threaten,care,vice
vålla,inflict,care,vice
lidit,suffered,care,vice
skadlig,harmful,care,vice
tillfogat,inflicted,care,vice
misshandla,mistreat,care,vice
hotar,endangers,care,vice
skadligt,damaging,care,vice
skadlig,injurious,care,vice
offer,victimize,care,vice
tillför,inflicts,care,vice
skadlig,hurtful,care,vice
lider,suffers,care,vice
tillför,inflicting,care,vice
skadar,injures,care,vice
sårbar,vulnerable,care,vice
sårbar,vulnerable,care,vice
ovänlig,unkind,care,vice
skada,damage,care,vice
döda,kill,care,vice
dö,die,care,vice
offer,victimizes,care,vice
plåga,torment,care,vice
förstöra,destroy,care,vice
brutalisera,brutalise,care,vice
brutaliserar,brutalises,care,vice
oro,distresses,care,vice
hotar,endangering,care,vice
misshandel,mistreats,care,vice
plåga,afflict,care,vice
ömmande,distressing,care,vice
förstör,destroys,care,vice
offer,victimises,care,vice
misshandel,maltreat,care,vice
smärta,pain,care,vice
hård,harsh,care,vice
misshandlad,mistreated,care,vice
härja,ravage,care,vice
hotad,threatened,care,vice
plåga,harass,care,vice
ovänlighet,unkindness,care,vice
drabbade,afflicted,care,vice
hotar,threatens,care,vice
hotfull,threatening,care,vice
ångest,distress,care,vice
brutalisera,brutalize,care,vice
plåga,tormenting,care,vice
brutaliserad,brutalized,care,vice
offer,victimizing,care,vice
skadegörare,damager,care,vice
skadad,damaged,care,vice
översittare,bully,care,vice
översittare,bully,care,vice
vånda,agony,care,vice
missbrukas,abused,care,vice
kallhjärtad,coldhearted,care,vice
omänsklig,inhuman,care,vice
skadade,injured,care,vice
plågor,torments,care,vice
brutaliserar,brutalizes,care,vice
obarmhärtig,uncompassionate,care,vice
grymhet,cruelty,care,vice
plågade,tormented,care,vice
mishandlar,mistreating,care,vice
hotad,endangered,care,vice
oskäligt,uncaring,care,vice
ångest,anguishes,care,vice
förstöra,destroying,care,vice
dödad,killed,care,vice
missbehandling,mistreatment,care,vice
mobbad,bullied,care,vice
mobbad,bullied,care,vice
hårdare,harsher,care,vice
grymhet,cruelness,care,vice
torteras,tortured,care,vice
plågad,pained,care,vice
tortyr,tortures,care,vice
torterar,torturing,care,vice
misshandlad,maltreated,care,vice
ångest,anguish,care,vice
förföljer,persecutes,care,vice
misshandel,maltreatment,care,vice
brutaliserande,brutalizing,care,vice
attackerade,attacked,care,vice
offer,victim,care,vice
gråt,crying,care,vice
skadestånd,damages,care,vice
obehag,discomforting,care,vice
missbruk,abusing,care,vice
hot,threat,care,vice
förfölja,persecute,care,vice
brutalisering,brutalization,care,vice
våldsam,violent,care,vice
förintad,annihilated,care,vice
plågsam,torturous,care,vice
trakasserier,harasses,care,vice
skadegörare,injurer,care,vice
förstörd,destroyed,care,vice
misshandel,molests,care,vice
antasta,molest,care,vice
skadar,injuring,care,vice
lider,afflicts,care,vice
dödande,killing,care,vice
värk,ache,care,vice
sårad,wounded,care,vice
sårad,wounded,care,vice
förföljda,persecuted,care,vice
härskar,ravages,care,vice
trakasserad,harassed,care,vice
utnyttjas,exploited,care,vice
utnyttjas,exploited,care,vice
skada,injury,care,vice
brutalisering,brutalisation,care,vice
obehag,discomfort,care,vice
obarmhärtig,unmerciful,care,vice
förinta,annihilate,care,vice
exploaterare,exploiters,care,vice
exploaterare,exploiters,care,vice
skadelidare,injurers,care,vice
förstörelse,destruction,care,vice
manhandtag,manhandle,care,vice
dödar,kills,care,vice
förluster,casualties,care,vice
misshandel,maltreating,care,vice
offer,victims,care,vice
trakasserande,harassing,care,vice
behövande,needier,care,vice
kväva,smother,care,vice
trakasserier,harassment,care,vice
smutsar,smothers,care,vice
ohjälpsam,unhelpful,care,vice
pina,agonize,care,vice
omänsklighet,inhumanity,care,vice
tvång,duress,care,vice
mobbing,victimization,care,vice
utnyttjar,exploiting,care,vice
utnyttjar,exploiting,care,vice
grät,cried,care,vice
sår,wounds,care,vice
sår,wounds,care,vice
sår,wounding,care,vice
sår,wounding,care,vice
mördande,murderous,care,vice
härjade,ravaged,care,vice
oavsiktligt,uncaringly,care,vice
möda,pains,care,vice
smärtsamhet,painfulness,care,vice
manhandtag,manhandles,care,vice
mobbar,bullies,care,vice
mobbar,bullies,care,vice
överfallen,assaulted,care,vice
kärlekslös,uncharitable,care,vice
bedrövad,distressed,care,vice
förföljelse,persecution,care,vice
mördad,murdered,care,vice
framfart,ravaging,care,vice
obehag,discomforted,care,vice
utnyttjande,exploitation,care,vice
utnyttjande,exploitation,care,vice
tortyr,torture,care,vice
mördare,murderers,care,vice
värk,aches,care,vice
lidanden,afflictions,care,vice
ogenerös,ungenerous,care,vice
offerizer,victimizer,care,vice
plågsam,agonizing,care,vice
smärtar,paining,care,vice
förföljer,persecuting,care,vice
utnyttja,exploit,care,vice
utnyttja,exploit,care,vice
trakasserier,harassers,care,vice
illvillig,malevolent,care,vice
stick,stabs,care,vice
sorgsen,sorrowful,care,vice
övergrepp,assaults,care,vice
behövande,needy,care,vice
lidande,affliction,care,vice
gråter,cries,care,vice
stridande,fighting,care,vice
bekämpa,fight,care,vice
ge sig på,attack,care,vice
förintar,annihilates,care,vice
sorg,sorrow,care,vice
plågad,agonized,care,vice
överfall,assaulting,care,vice
ogästvänlig,inhospitable,care,vice
hot,threats,care,vice
värkade,ached,care,vice
våldtäktsmän,rapists,care,vice
missbrukare,abuser,care,vice
våldtagen,raped,care,vice
mördare,assassinates,care,vice
knivhuggen,stabbed,care,vice
ogästvänlighet,inhospitality,care,vice
förintelse,annihilation,care,vice
stansa,punch,care,vice
hårdhet,harshness,care,vice
missbrukare,abusers,care,vice
mördare,killer,care,vice
drabbade,sufferers,care,vice
offerförare,victimizers,care,vice
slå,smite,care,vice
mördare,killers,care,vice
obehag,discomforts,care,vice
dödsfall,fatalities,care,vice
trakasserad,molested,care,vice
brutalitet,brutality,care,vice
mord,murdering,care,vice
torterare,torturer,care,vice
torterare,torturers,care,vice
kämpar,fights,care,vice
skadlighet,harmfulness,care,vice
mobbning,bullying,care,vice
mobbning,bullying,care,vice
olycka,casualty,care,vice
lidande person,sufferer,care,vice
exploaterare,exploiter,care,vice
exploaterare,exploiter,care,vice
dödsoffer,fatality,care,vice
slag,punches,care,vice
missbruk,abuses,care,vice
attacker,attacks,care,vice
sårbarhet,vulnerability,care,vice
sårbarhet,vulnerability,care,vice
blodbad,carnage,care,vice
vedermöda,tribulation,care,vice
förintelse,annihilator,care,vice
kvävning,smothering,care,vice
bullyboy,bullyboy,care,vice
mördare,murderer,care,vice
sår,wound,care,vice
sår,wound,care,vice
huggare,stabber,care,vice
plågare,tormenters,care,vice
illvilja,malevolence,care,vice
våldtäkt,raping,care,vice
kvävd,smothered,care,vice
överfall,assault,care,vice
folkmord,genocidal,care,vice
ångest,anguishing,care,vice
värkande,aching,care,vice
plågad,anguished,care,vice
stickande,stabbing,care,vice
våldtäktsman,rapist,care,vice
trakasserier,harasser,care,vice
hunger,hungers,care,vice
hunger,hunger,care,vice
trakasserande,molesting,care,vice
våldta,rape,care,vice
missbrukare,molesters,care,vice
stansade,punched,care,vice
våld,violence,care,vice
oroande,distressingly,care,vice
molester,molester,care,vice
stickande,stabbers,care,vice
armod,neediness,care,vice
mörda,assassinate,care,vice
plågsamt,agonizingly,care,vice
prövningar,tribulations,care,vice
ohjälpsamhet,unhelpfulness,care,vice
angripare,assaulter,care,vice
stans,puncher,care,vice
stansning,punching,care,vice
våldtäkter,rapes,care,vice
folkmord,genocides,care,vice
angripare,attackers,care,vice
plågoande,tormentor,care,vice
mord,assassinations,care,vice
förstörare,destroyers,care,vice
stansare,punchers,care,vice
sorger,sorrows,care,vice
plågare,tormenter,care,vice
hotfullt,threateningly,care,vice
mörda,murder,care,vice
jagare,destroyer,care,vice
mördande,assassinating,care,vice
utropare,crier,care,vice
mördad,assassinated,care,vice
ofredande,molestation,care,vice
angripare,attacker,care,vice
mord,murders,care,vice
folkmord,genocide,care,vice
kämpe,fighter,care,vice
lönnmördare,assassins,care,vice
angripare,assaulters,care,vice
hunger,hungering,care,vice
värkande,achingly,care,vice
hungrig,hungered,care,vice
mörderska,murderess,care,vice
mördare,assassin,care,vice
utnyttjar,exploits,care,vice
utnyttjar,exploits,care,vice
fighters,fighters,care,vice
lönnmord,assassination,care,vice
jämlikhet,equality,fairness,virtue
rättvisa,fairness,fairness,virtue
rättvisa,justice,fairness,virtue
rättigheter,rights,fairness,virtue
rättvis,equitable,fairness,virtue
rättvist spel,fairplay,fairness,virtue
opartiskhet,impartiality,fairness,virtue
likvärdig,equal,fairness,virtue
rättvis,fairminded,fairness,virtue
proportionalitet,proportionality,fairness,virtue
jämlikheter,equalities,fairness,virtue
rättvist,fair,fairness,virtue
integritet,integrity,fairness,virtue
opartisk,impartial,fairness,virtue
ömsesidighet,reciprocity,fairness,virtue
ärlighet,honesty,fairness,virtue
jämlikhetskämpe,egalitarian,fairness,virtue
lag,law,fairness,virtue
rättvisa,justness,fairness,virtue
obetänksamhet,unbias,fairness,virtue
jämställdhet,egalitarians,fairness,virtue
paritet,parity,fairness,virtue
objektivitet,objectiveness,fairness,virtue
ersättningar,reparations,fairness,virtue
fördomsfri,unprejudiced,fairness,virtue
domare,justices,fairness,virtue
lagar,laws,fairness,virtue
domstolar,tribunals,fairness,virtue
vedergällning,retribution,fairness,virtue
gottgörelse,reparation,fairness,virtue
lagligt,lawfully,fairness,virtue
laglig,lawful,fairness,virtue
ärliga,honest,fairness,virtue
ersättning,compensation,fairness,virtue
advokater,lawyers,fairness,virtue
idrott,sportsmanship,fairness,virtue
domstol,tribunal,fairness,virtue
advokat,lawyer,fairness,virtue
proportionell,proportional,fairness,virtue
rättvisa,equity,fairness,virtue
lagstiftning,lawyering,fairness,virtue
förtroende,trust,fairness,virtue
ömsesidig,reciprocal,fairness,virtue
berättigande,justification,fairness,virtue
trovärdighet,trustworthiness,fairness,virtue
opartisk,unbiased,fairness,virtue
hämnd,vengeance,fairness,virtue
hämnd,revenge,fairness,virtue
återbetalningar,retributions,fairness,virtue
är lika med,equals,fairness,virtue
utjämna,equalize,fairness,virtue
domare,refereeing,fairness,virtue
återbetalning,restitution,fairness,virtue
kompenserande,compensating,fairness,virtue
motiverat,justified,fairness,virtue
motiverar,justifies,fairness,virtue
hämnd,retaliation,fairness,virtue
advokat,lawyered,fairness,virtue
kompenseras,compensated,fairness,virtue
domare,referees,fairness,virtue
karma,karma,fairness,virtue
hämnare,avenger,fairness,virtue
litar på,trusting,fairness,virtue
avengers,avengers,fairness,virtue
litar på,trusts,fairness,virtue
kompensera,compensate,fairness,virtue
pålitlig,trustworthy,fairness,virtue
hämnas,retaliate,fairness,virtue
återbetalning,repayment,fairness,virtue
hämnd,payback,fairness,virtue
aktier,equities,fairness,virtue
rättfärdiga,justify,fairness,virtue
avgifter,dues,fairness,virtue
domare,referee,fairness,virtue
återbetalas,repaid,fairness,virtue
utjämnare,equalizer,fairness,virtue
återbetala,repay,fairness,virtue
kompenserar,compensates,fairness,virtue
motiverar,justifying,fairness,virtue
återbetalningar,repayments,fairness,virtue
återbetalning,repaying,fairness,virtue
vedergällning,retaliating,fairness,virtue
svarade,retaliated,fairness,virtue
domare,refereed,fairness,virtue
hämnare,revenger,fairness,virtue
hämnas,avenging,fairness,virtue
återbetalar,repays,fairness,virtue
betrodd,trusted,fairness,virtue
hämnas,avenge,fairness,virtue
vedergäller,retaliates,fairness,virtue
utjämnare,equalizers,fairness,virtue
hämnd,avenged,fairness,virtue
hämnas,avenges,fairness,virtue
fuska,cheat,fairness,vice
orättvis,unfair,fairness,vice
fusk,cheating,fairness,vice
orättvisa,unfairness,fairness,vice
orättvisa,injustice,fairness,vice
bedrägeri,fraud,fairness,vice
oärlig,dishonest,fairness,vice
orättvis,unjust,fairness,vice
lurad,cheated,fairness,vice
bedräglig,fraudulent,fairness,vice
fusk,cheats,fairness,vice
bedrägerier,frauds,fairness,vice
oärlighet,dishonesty,fairness,vice
fuskare,cheaters,fairness,vice
bedrägeri,deception,fairness,vice
orättvisa,injustices,fairness,vice
lura,swindle,fairness,vice
orättvisa,inequity,fairness,vice
hyckleri,hypocrisy,fairness,vice
diskriminering,discrimination,fairness,vice
olika,unequal,fairness,vice
fuskare,cheater,fairness,vice
ojämlikhet,inequities,fairness,vice
bedra,defraud,fairness,vice
rasism,racism,fairness,vice
lurendrejeri,scam,fairness,vice
lögnare,liar,fairness,vice
bedrägerier,defrauds,fairness,vice
svek,betrayal,fairness,vice
svek,deceit,fairness,vice
bedrägerier,defrauded,fairness,vice
olikhet,inequality,fairness,vice
lögnare,liars,fairness,vice
bedragare,defrauders,fairness,vice
hycklare,hypocrite,fairness,vice
partisk,biased,fairness,vice
ripoffs,ripoffs,fairness,vice
bedrägerier,scams,fairness,vice
fläckande,fleecing,fairness,vice
bedragare,defrauder,fairness,vice
diskriminerar,discriminates,fairness,vice
vilseleda,mislead,fairness,vice
ojämlikheter,inequalities,fairness,vice
fördomar,prejudice,fairness,vice
flög,fleeced,fairness,vice
bedrägeri,defrauding,fairness,vice
ripoff,ripoff,fairness,vice
bedrägerier,scamming,fairness,vice
bedragare,imposters,fairness,vice
utnyttjande,exploitation,fairness,vice
utnyttjande,exploitation,fairness,vice
krokig,crooked,fairness,vice
förtrycka,oppress,fairness,vice
förtrycka,oppress,fairness,vice
rasist,racist,fairness,vice
förtryck,oppression,fairness,vice
bedragare,imposter,fairness,vice
lurade,swindled,fairness,vice
hycklare,hypocrites,fairness,vice
plagiat,plagiarism,fairness,vice
ljög,lied,fairness,vice
otillförlitlighet,untrustworthiness,fairness,vice
lura,hoodwink,fairness,vice
lurad,scammed,fairness,vice
utpressning,blackmail,fairness,vice
bilks,bilks,fairness,vice
svindlande,swindling,fairness,vice
svikit,betrayed,fairness,vice
svikit,betrayed,fairness,vice
partiskhet,bias,fairness,vice
känna igen,connive,fairness,vice
skurkar,crooks,fairness,vice
lura,deceive,fairness,vice
friladdare,freeloaders,fairness,vice
favorisering,favoritism,fairness,vice
skillnad,disparity,fairness,vice
svindlar,swindles,fairness,vice
lurad,deceived,fairness,vice
exploaterare,exploiters,fairness,vice
exploaterare,exploiters,fairness,vice
vilseledande,misleading,fairness,vice
diskriminerad,discriminated,fairness,vice
bilked,bilked,fairness,vice
bedra,deceiving,fairness,vice
opålitlig,untrustworthy,fairness,vice
fördomsfull,prejudiced,fairness,vice
bedragare,scammers,fairness,vice
svindlare,swindler,fairness,vice
stöld,theft,fairness,vice
dubbel,duplicitous,fairness,vice
hoodwinked,hoodwinked,fairness,vice
bigott,bigoted,fairness,vice
sexism,sexism,fairness,vice
oproportionerlig,disproportionate,fairness,vice
bedragare,swindlers,fairness,vice
diskriminera,discriminate,fairness,vice
medvetande,conniving,fairness,vice
sexistiska,sexist,fairness,vice
förråda,betraying,fairness,vice
förråda,betraying,fairness,vice
hoodwinking,hoodwinking,fairness,vice
partiskhet,partiality,fairness,vice
vilseleder,misleads,fairness,vice
disproportion,disproportion,fairness,vice
exploaterare,exploiter,fairness,vice
exploaterare,exploiter,fairness,vice
bilk,bilk,fairness,vice
fördomar,biases,fairness,vice
fördjupare,bigots,fairness,vice
misstro,distrust,fairness,vice
dupera,dupe,fairness,vice
skurk,crook,fairness,vice
rasister,racists,fairness,vice
bilking,bilking,fairness,vice
utpressning,blackmailing,fairness,vice
bedrar,deceives,fairness,vice
förrådare,betrayers,fairness,vice
förrådare,betrayers,fairness,vice
bedragare,deceiver,fairness,vice
utpressad,blackmailed,fairness,vice
duperande,duping,fairness,vice
blyg,shyster,fairness,vice
anslutare,connivers,fairness,vice
obalanserad,imbalanced,fairness,vice
sexister,sexists,fairness,vice
tjuv,thieving,fairness,vice
förråda,betray,fairness,vice
förråda,betray,fairness,vice
obalans,imbalance,fairness,vice
oproportioner,disproportions,fairness,vice
oproportionerligt,disproportionately,fairness,vice
snyltare,freeloader,fairness,vice
vilseledare,misleaders,fairness,vice
medvetet,connived,fairness,vice
shysters,shysters,fairness,vice
bedragare,scammer,fairness,vice
ansluter,connives,fairness,vice
conniver,conniver,fairness,vice
missgynnade,disadvantaged,fairness,vice
plagiat,plagiaristic,fairness,vice
moocher,moocher,fairness,vice
dupes,dupes,fairness,vice
särskiljande,discriminating,fairness,vice
lurad,tricked,fairness,vice
segregation,segregation,fairness,vice
tjuv,thief,fairness,vice
förrädare,betrayer,fairness,vice
förrädare,betrayer,fairness,vice
trångsynt,bigot,fairness,vice
utnyttjar,exploiting,fairness,vice
utnyttjar,exploiting,fairness,vice
liggande,lying,fairness,vice
tjuvar,thieves,fairness,vice
stjäla,stealing,fairness,vice
suger,suckered,fairness,vice
bedragare,deceivers,fairness,vice
bambujled,bamboozled,fairness,vice
