code,name,region,population,area,land,sea,ocean,density,bounds_ne_lat_google_2015_05_28,bounds_ne_lng_google_2015_05_28,bounds_sw_lat_google_2015_05_28,bounds_sw_lng_google_2015_05_28,location_lat_google_2015_05_28,location_lng_google_2015_05_28
0114,Upplands Väsby kommun,Stockholms län,43891,83.82,75.01,4.84,0.00,585.14,59.5576182,18.0040651,59.4582726,17.8572368,59.51961,17.92834
0115,Vallentuna kommun,Stockholms län,32785,368.45,357.74,10.71,0.00,91.64,59.53162308,17.96806018,59.52892512,17.96536222,59.5302741,17.9667112
0117,Österåkers kommun,Stockholms län,43293,554.65,312.37,10.90,231.18,138.60,59.600716,18.968054,59.3849541,18.1447791,59.5000584,18.3524853
0120,Värmdö kommun,Stockholms län,42000,2980.99,448.12,8.46,2523.54,93.72,59.3640911,18.462124,59.2984415,18.325353,59.333333,18.383333
0123,Järfälla kommun,Stockholms län,74412,63.03,53.79,1.11,0.00,1383.38,59.4157427,17.8528114,59.4043863,17.8207966,59.410065,17.836804
0125,Ekerö kommun,Stockholms län,27406,384.53,217.46,1.16,0.00,126.03,59.2955809,17.8639943,59.2625319,17.7235888,59.2798338,17.7902246
0126,Huddinge kommun,Stockholms län,107538,140.67,131.03,8.66,0.00,820.71,59.2866631,18.1764119,59.1392181,17.866803,59.23633,17.9821561
0127,Botkyrka kommun,Stockholms län,90675,222.31,194.15,10.74,12.73,467.04,59.2640638,17.94174,59.175961,17.7542463,59.2459411,17.8408583
0128,Salems kommun,Stockholms län,16615,71.09,54.11,7.27,0.00,307.06,59.223043,17.7953711,59.18936,17.7080919,59.2,17.766667
0136,Haninge kommun,Stockholms län,85693,2161.18,457.85,6.52,1696.50,187.16,59.1884394,18.167098,59.1770069,18.1350832,59.1827236,18.1510906
0138,Tyresö kommun,Stockholms län,47103,100.52,69.23,3.39,27.91,680.38,59.258714,18.3157629,59.2087207,18.1754999,59.2425954,18.2833919
0139,Upplands-Bro kommun,Stockholms län,26755,325.23,235.29,6.82,0.00,113.71,59.6494755,17.8308551,59.4314551,17.4796776,59.5094727,17.6144117
0140,Nykvarns kommun,Stockholms län,10424,176.99,152.74,16.27,0.00,68.25,59.1957279,17.4755061,59.1510149,17.3872201,59.178177,17.427816
0160,Täby kommun,Stockholms län,69386,71.22,60.69,5.34,5.19,1143.29,59.50914,18.1494549,59.417161,17.9831791,59.4419,18.0703299
0162,Danderyds kommun,Stockholms län,32653,32.67,26.40,0.15,6.12,1236.86,59.429869,18.0512542,59.386519,17.9916912,59.4079049,18.019075
0163,Sollentuna kommun,Stockholms län,71023,57.96,52.62,3.21,2.14,1349.73,59.4984,18.0163742,59.3929649,17.825145,59.43911,17.94148
0180,Stockholms kommun,Stockholms län,935619,214.12,187.16,4.46,7.27,4999.03,59.4278409,18.198229,59.224443,17.7768619,59.3293235,18.0685808
0181,Södertälje kommun,Stockholms län,94631,694.57,524.86,33.27,83.68,180.30,59.2242369,17.686328,59.145044,17.553966,59.195363,17.625689
0182,Nacka kommun,Stockholms län,99359,128.46,95.12,4.13,29.58,1044.56,59.324012,18.1919651,59.2896071,18.1025549,59.307903,18.156042
0183,Sundbybergs kommun,Stockholms län,47750,8.79,8.69,0.06,0.00,5494.82,59.3574018,18.0094748,59.3548677,17.9973473,59.3555208,18.0034869
0184,Solna kommun,Stockholms län,78129,20.66,19.29,0.19,1.65,4050.23,59.399706,18.0550844,59.3392301,17.9631101,59.3688791,18.0084334
0186,Lidingö kommun,Stockholms län,46853,51.11,30.80,0.38,19.87,1521.20,59.3915493,18.2936239,59.3349147,18.0935972,59.36296,18.1468
0187,Vaxholms kommun,Stockholms län,11621,106.85,57.84,0.51,48.72,200.92,59.4564151,18.2222554,59.4308553,18.1404561,59.452788,18.183603
0188,Norrtälje kommun,Stockholms län,59420,5869.88,2015.35,98.63,3755.27,29.48,59.7786732,18.7473535,59.7391301,18.6671649,59.7595841,18.7013584
0191,Sigtuna kommun,Stockholms län,46274,350.26,327.66,4.41,0.00,141.23,59.631673,17.7768909,59.5950224,17.6708235,59.6191463,17.7234191
0192,Nynäshamns kommun,Stockholms län,27752,1300.87,358.75,6.76,935.33,77.36,58.94371,17.9805926,58.8811081,17.9128592,58.902926,17.9465289
0305,Håbo kommun,Uppsala län,20737,186.47,143.55,1.48,0.00,144.46,59.904146,17.7709899,59.7624129,17.5459043,59.8585638,17.6389267
0319,Älvkarleby kommun,Uppsala län,9445,614.85,215.24,20.29,378.60,43.88,60.585658,17.4660351,60.557145,17.4298978,60.5686067,17.4489129
0330,Knivsta kommun,Uppsala län,17323,295.11,282.13,4.25,0.00,61.40,59.7305958,17.8166104,59.7193452,17.7845956,59.724971,17.800603
0331,Heby kommun,Uppsala län,13755,1225.58,1166.90,58.68,0.00,11.79,60.7313874,18.7711579,59.4050129,16.678336,60.0092262,17.2714589
0360,Tierps kommun,Uppsala län,20744,2573.61,1546.33,58.13,969.34,13.41,60.365315,17.5421131,60.3287969,17.4962908,60.3458956,17.516906
0380,Uppsala kommun,Uppsala län,214559,2234.44,2182.41,40.76,0.00,98.31,59.904146,17.7709899,59.7624129,17.5459043,59.8585638,17.6389267
0381,Enköpings kommun,Uppsala län,42988,1323.82,1178.35,4.64,0.00,36.48,59.8551211,17.59317,59.8451654,17.5511117,59.8496675,17.5726536
0382,Östhammars kommun,Uppsala län,21822,3486.25,1474.61,28.06,1984.22,14.80,60.26175708,18.37242068,60.25905912,18.36972272,60.2604081,18.3710717
0428,Vingåkers kommun,Södermanlands län,9099,439.45,370.32,41.51,0.00,24.57,59.0735809,15.8961489,59.0271121,15.8532942,59.046478,15.876965
0461,Gnesta kommun,Södermanlands län,10861,538.14,461.11,77.03,0.00,23.55,59.04988038,17.30765168,59.04718242,17.30495372,59.0485314,17.3063027
0480,Nyköpings kommun,Södermanlands län,54924,2066.54,1420.46,133.93,512.02,38.67,58.75404578,17.00991578,58.75134782,17.00721782,58.7526968,17.0085668
0481,Oxelösunds kommun,Södermanlands län,11921,746.59,35.43,0.16,710.95,336.47,58.67249598,17.10835398,58.66979802,17.10565602,58.671147,17.107005
0482,Flens kommun,Södermanlands län,16830,826.04,718.49,107.55,0.00,23.42,59.070989,16.6174309,59.0409961,16.5666509,59.0579376,16.5879122
0483,Katrineholms kommun,Södermanlands län,33722,1189.54,1020.16,94.07,0.00,33.06,59.007928,16.2507348,58.9743879,16.139623,58.9955511,16.2054756
0484,Eskilstuna kommun,Södermanlands län,103684,1250.49,1099.89,22.97,0.00,94.27,59.4087279,16.5885638,59.327076,16.4245331,59.3712486,16.5098045
0486,Strängnäs kommun,Södermanlands län,34609,975.09,739.42,15.27,0.00,46.81,59.400146,17.061378,59.3436841,16.9721279,59.3774523,17.0321193
0488,Trosa kommun,Södermanlands län,12447,664.67,209.79,7.62,447.35,59.33,58.9144399,17.5710619,58.8903629,17.5315089,58.8985136,17.5513527
0509,Ödeshögs kommun,Östergötlands län,5335,668.99,433.97,16.31,0.00,12.29,58.238214,14.6778449,58.220175,14.6340051,58.2291051,14.6530212
0512,Ydre kommun,Östergötlands län,3675,778.62,675.39,103.23,0.00,5.44,58.0490711,15.5690311,57.702259,14.9877159,57.8595195,15.2973458
0513,Kinda kommun,Östergötlands län,9874,1301.96,1129.40,172.56,0.00,8.74,58.142883,16.0911802,57.8041161,15.640129,57.9535789,15.8479635
0560,Boxholms kommun,Östergötlands län,5373,603.87,525.74,78.13,0.00,10.22,58.210788,15.0682551,58.1803831,15.0229469,58.1966895,15.0474881
0561,Åtvidabergs kommun,Östergötlands län,11617,780.28,686.60,93.68,0.00,16.92,58.2139331,16.0214571,58.1830461,15.967212,58.2021898,15.9972698
0562,Finspångs kommun,Östergötlands län,21526,1215.04,1055.25,159.79,0.00,20.40,58.722167,15.831963,58.6872099,15.7247072,58.7074884,15.773595
0563,Valdemarsviks kommun,Östergötlands län,7809,2049.57,733.97,43.12,1272.46,10.64,58.218258,16.6163648,58.1934421,16.572921,58.2024514,16.6013626
0580,Linköpings kommun,Östergötlands län,155817,1568.57,1427.72,140.85,0.00,109.14,58.39551438,15.56131278,58.39281642,15.55861482,58.3941654,15.5599638
0581,Norrköpings kommun,Östergötlands län,139363,2048.39,1495.52,108.99,443.08,93.19,58.706099,15.8471323,58.7021904,15.7667674,58.7023914,15.8071836
0582,Söderköpings kommun,Östergötlands län,14402,1330.55,674.27,19.38,631.54,21.36,58.46574468,16.35795648,58.46304672,16.35525852,58.4643957,16.3566075
0583,Motala kommun,Östergötlands län,43258,1266.75,982.99,68.54,0.00,44.01,58.5427835,15.01385,58.5401715,15.0073081,58.5414775,15.0105791
0584,Vadstena kommun,Östergötlands län,7348,413.26,191.60,16.46,0.00,38.35,58.45348908,14.90082318,58.45079112,14.89812522,58.4521401,14.8994742
0586,Mjölby kommun,Östergötlands län,26708,557.38,547.00,10.38,0.00,48.83,58.2782271,14.6923084,58.2311362,14.6480021,58.2497209,14.6543704
0604,Aneby kommun,Jönköpings län,6603,553.89,517.68,36.21,0.00,12.75,57.849852,14.8278439,57.8250111,14.789236,57.838521,14.8178021
0617,Gnosjö kommun,Jönköpings län,9615,450.05,420.55,29.50,0.00,22.86,57.3696891,13.7677981,57.339139,13.7204112,57.3580398,13.7371898
0642,Mullsjö kommun,Jönköpings län,7226,211.04,200.13,10.91,0.00,36.11,57.9303341,13.9049962,57.899339,13.8537402,57.9165989,13.8773174
0643,Habo kommun,Jönköpings län,11586,462.24,328.49,6.25,0.00,35.27,57.92307,14.105306,57.8931019,14.0560171,57.9093094,14.0743665
0662,Gislaveds kommun,Jönköpings län,29478,1220.72,1137.07,83.65,0.00,25.92,57.321566,13.5836202,57.280877,13.5124279,57.2985,13.54326
0665,Vaggeryds kommun,Jönköpings län,13644,858.15,824.88,33.27,0.00,16.54,57.5047019,14.1627474,57.4927111,14.1307326,57.498707,14.14674
0680,Jönköpings kommun,Jönköpings län,135297,1925.01,1480.21,73.54,0.00,91.40,57.78514398,14.16297798,57.78244602,14.16028002,57.783795,14.161629
0682,Nässjö kommun,Jönköpings län,30820,988.50,930.22,58.28,0.00,33.13,57.65397338,14.69968878,57.65127542,14.69699082,57.6526244,14.6983398
0683,Värnamo kommun,Jönköpings län,33906,1382.43,1215.82,166.61,0.00,27.89,57.218454,14.0946799,57.160463,13.9924661,57.1831605,14.0478214
0684,Sävsjö kommun,Jönköpings län,11396,729.56,679.30,50.26,0.00,16.78,57.4117899,14.6843229,57.3825861,14.643416,57.3989958,14.6658136
0685,Vetlanda kommun,Jönköpings län,27241,1600.42,1500.35,100.07,0.00,18.16,57.451331,15.121841,57.3921311,15.04801,57.42746,15.08533
0686,Eksjö kommun,Jönköpings län,17129,873.30,799.40,73.90,0.00,21.43,57.777193,15.3398519,57.4969789,14.7890102,57.5909402,15.0239091
0687,Tranås kommun,Jönköpings län,18794,437.74,402.60,35.14,0.00,46.68,58.057912,15.01115,58.005672,14.9431549,58.035518,14.975696
0760,Uppvidinge kommun,Kronobergs län,9508,1226.65,1171.88,54.77,0.00,8.11,57.018246,15.7965239,56.8305691,15.1323129,56.9373436,15.4446016
0761,Lessebo kommun,Kronobergs län,8760,456.36,412.54,43.82,0.00,21.23,56.8297769,15.411291,56.6857991,15.225855,56.7573602,15.318206
0763,Tingsryds kommun,Kronobergs län,12393,1207.25,1044.76,162.49,0.00,11.86,56.537858,14.9983701,56.516002,14.940799,56.5247452,14.9785342
0764,Alvesta kommun,Kronobergs län,19850,1074.26,974.11,100.15,0.00,20.38,56.915449,14.5858261,56.886719,14.5146531,56.8992104,14.5560006
0765,Älmhults kommun,Kronobergs län,16618,978.22,890.50,87.72,0.00,18.66,56.5571197,14.1550304,56.5448193,14.1230156,56.55097,14.139023
0767,Markaryds kommun,Kronobergs län,9991,532.84,517.15,15.69,0.00,19.32,57.238187,15.844141,56.3566439,13.2767319,56.7183403,14.4114674
0780,Växjö kommun,Kronobergs län,89500,1914.25,1665.45,248.80,0.00,53.74,56.8800485,14.6209858,56.8724508,14.5994842,56.8750413,14.6091742
0781,Ljungby kommun,Kronobergs län,28008,1995.13,1747.88,247.25,0.00,16.02,56.856567,13.9836381,56.809782,13.8987431,56.8338774,13.9410417
0821,Högsby kommun,Kalmar län,6080,799.42,751.10,48.32,0.00,8.09,57.1711376,16.0422364,57.1590374,16.0102216,57.165088,16.026229
0834,Torsås kommun,Kalmar län,7063,605.23,468.35,1.59,135.29,15.08,56.41396868,16.00011988,56.41127072,15.99742192,56.4126197,15.9987709
0840,Mörbylånga kommun,Kalmar län,14916,3043.54,667.25,1.20,2374.97,22.35,56.530862,16.4097581,56.50701,16.371316,56.5237566,16.3869163
0860,Hultsfreds kommun,Kalmar län,14607,1187.00,1121.50,65.50,0.00,13.02,57.512664,15.867641,57.4769979,15.8108539,57.49484,15.8416513
0861,Mönsterås kommun,Kalmar län,13395,941.04,599.41,8.62,333.02,22.35,57.059597,16.4655251,57.0225089,16.4153959,57.0415797,16.44312
0862,Emmaboda kommun,Kalmar län,9348,718.53,689.54,28.99,0.00,13.56,56.6358669,15.5572664,56.6235921,15.5252516,56.62973,15.541259
0880,Kalmar kommun,Kalmar län,66571,1250.87,956.62,3.96,290.38,69.59,56.7283809,16.3854989,56.6465394,16.2684111,56.6634447,16.356779
0881,Nybro kommun,Kalmar län,20311,1201.63,1171.72,29.91,0.00,17.33,56.7511302,15.9238814,56.7388928,15.8918666,56.745012,15.907874
0882,Oskarshamns kommun,Kalmar län,27006,2279.96,1046.66,48.31,1182.43,25.80,57.2920961,16.4884022,57.239841,16.3755291,57.2656993,16.4473984
0883,Västerviks kommun,Kalmar län,36438,3594.61,1874.47,152.45,1569.86,19.44,57.75961398,16.63149098,57.75691602,16.62879302,57.758265,16.630142
0884,Vimmerby kommun,Kalmar län,15636,1219.80,1140.22,79.58,0.00,13.71,57.6840129,15.890071,57.652537,15.816974,57.6690339,15.858857
0885,Borgholms kommun,Kalmar län,10930,3654.12,677.84,3.56,2973.44,16.12,56.8868909,16.6841911,56.866457,16.6436681,56.8802297,16.6562355
0980,Gotlands kommun,Gotlands län,58003,15242.28,3134.98,31.77,12074.32,18.50,57.9298153,19.1228588,56.9049485,18.0855621,57.4684121,18.4867447
1060,Olofströms kommun,Blekinge län,13417,413.44,389.79,23.65,0.00,34.42,56.27941638,14.52392188,56.27671842,14.52122392,56.2780674,14.5225729
1080,Karlskrona kommun,Blekinge län,66262,3338.03,1042.05,27.60,2268.40,63.59,56.230162,15.6912351,56.14811,15.5606735,56.161224,15.5869
1081,Ronneby kommun,Blekinge län,29207,1241.84,825.29,36.54,380.01,35.39,56.2136676,15.6124644,56.1957947,15.5874106,56.2054368,15.6037495
1082,Karlshamns kommun,Blekinge län,32130,832.43,488.68,19.92,323.83,65.75,56.16541688,14.89637538,56.16271892,14.89367742,56.1640679,14.8950264
1083,Sölvesborgs kommun,Blekinge län,17437,1106.41,185.31,0.58,920.52,94.10,56.5022141,16.0679243,55.9901428,14.3528851,56.2783837,15.0180058
1214,Svalövs kommun,Skåne län,13919,388.62,387.18,1.44,0.00,35.95,55.92184,13.118234,55.9037431,13.088994,55.9129296,13.1018168
1230,Staffanstorps kommun,Skåne län,23600,107.27,106.78,0.49,0.00,221.02,55.6582801,13.355178,55.595168,13.1247249,55.641065,13.212229
1231,Burlövs kommun,Skåne län,17646,19.21,18.90,0.13,0.18,933.65,55.666606,13.1406339,55.602549,13.0488918,55.6319129,13.096379
1233,Vellinge kommun,Skåne län,35257,705.62,142.66,1.19,561.61,247.14,55.488096,13.043046,55.456573,13.0076679,55.4708928,13.0199899
1256,Östra Göinge kommun,Skåne län,14406,451.14,431.84,19.30,0.00,33.36,56.452628,14.378548,56.116664,13.9645249,56.2378773,14.2161662
1257,Örkelljunga kommun,Skåne län,9958,329.70,319.50,10.20,0.00,31.17,56.301961,13.311899,56.266761,13.2474369,56.283635,13.278832
1260,Bjuvs kommun,Skåne län,15202,115.80,115.31,0.49,0.00,131.84,56.08614918,12.91614258,56.08345122,12.91344462,56.0848002,12.9147936
1261,Kävlinge kommun,Skåne län,30532,292.44,152.54,1.09,138.82,200.16,55.808029,13.1518599,55.7786061,13.079571,55.7939999,13.1104293
1262,Lomma kommun,Skåne län,23887,90.20,55.51,0.83,33.85,430.32,55.68995,13.0975299,55.6587511,13.0547431,55.6706674,13.077576
1263,Svedala kommun,Skåne län,20771,227.11,217.91,9.20,0.00,95.32,55.527168,13.4725908,55.421128,13.1783852,55.5089084,13.2371097
1264,Skurups kommun,Skåne län,15408,510.95,193.51,1.65,315.80,79.62,55.48054788,13.50235818,55.47784992,13.49966022,55.4791989,13.5010092
1265,Sjöbo kommun,Skåne län,18742,506.64,492.01,14.63,0.00,38.09,55.640587,13.859235,55.5098351,13.5171429,55.5934072,13.6977756
1266,Hörby kommun,Skåne län,15283,433.07,419.37,13.70,0.00,36.44,55.8636679,13.6816939,55.8396759,13.643817,55.851716,13.6619255
1267,Höörs kommun,Skåne län,16192,319.87,290.55,29.32,0.00,55.73,55.93341018,13.54338318,55.93071222,13.54068522,55.9320612,13.5420342
1270,Tomelilla kommun,Skåne län,13330,397.39,395.93,1.46,0.00,33.67,55.570886,13.9792422,55.5302811,13.9077371,55.54355,13.95484
1272,Bromölla kommun,Skåne län,12625,197.14,162.49,22.78,11.87,77.70,56.07593078,14.47137238,56.07323282,14.46867442,56.0745818,14.4700234
1273,Osby kommun,Skåne län,13149,599.85,576.38,23.47,0.00,22.81,56.400339,14.036506,56.353252,13.9648611,56.3815355,13.9929413
1275,Perstorps kommun,Skåne län,7338,161.93,158.77,3.16,0.00,46.22,55.4746061,13.0257506,55.4699345,13.0169436,55.4726302,13.0232164
1276,Klippans kommun,Skåne län,17219,379.41,374.32,5.09,0.00,46.00,56.13690128,13.12930778,56.13420332,13.12660982,56.1355523,13.1279588
1277,Åstorps kommun,Skåne län,15528,92.62,92.35,0.27,0.00,168.14,56.1481789,12.9761791,56.121007,12.8903391,56.134262,12.945908
1278,Båstads kommun,Skåne län,14614,889.25,217.13,0.62,664.15,67.31,56.42776678,12.84751458,56.42506882,12.84481662,56.4264178,12.8461656
1280,Malmö kommun,Skåne län,328494,332.61,156.60,1.76,173.93,2097.66,55.639951,13.1507608,55.5017314,12.8894594,55.604981,13.003822
1281,Lunds kommun,Skåne län,118542,439.91,427.07,12.84,0.00,277.57,55.7440789,13.260202,55.6695239,13.13579,55.7046601,13.1910073
1282,Landskrona kommun,Skåne län,44611,300.67,140.26,0.76,159.63,318.06,55.9056341,12.8832798,55.8533971,12.810608,55.8703477,12.8300802
1283,Helsingborgs kommun,Skåne län,140547,423.93,343.89,1.43,78.60,408.70,56.2350684,12.8629462,56.1836382,12.8427726,56.2090107,12.8557318
1284,Höganäs kommun,Skåne län,25847,668.78,143.50,0.38,532.25,180.12,56.219599,12.5996919,56.179702,12.532773,56.2006388,12.5553288
1285,Eslövs kommun,Skåne län,32878,424.68,419.02,5.66,0.00,78.46,55.85642,13.3347121,55.820682,13.2682741,55.8391198,13.3033914
1286,Ystads kommun,Skåne län,29448,1189.26,350.00,5.04,834.28,84.14,55.5459148,13.2018407,55.5283847,13.1443448,55.5367258,13.1726454
1287,Trelleborgs kommun,Skåne län,43913,1175.07,339.80,2.38,832.83,129.23,55.37485678,13.15932448,55.37215882,13.15662652,55.3735078,13.1579755
1290,Kristianstads kommun,Skåne län,83191,1817.25,1245.22,94.13,478.90,66.81,55.565076,14.3470449,55.5562294,14.33599,55.5606075,14.3412722
1291,Simrishamns kommun,Skåne län,19485,1262.16,392.34,1.10,867.72,49.66,55.5767769,14.360677,55.538923,14.3260224,55.5573959,14.3489651
1292,Ängelholms kommun,Skåne län,41336,477.93,419.87,11.29,46.75,98.45,56.284446,12.907386,56.220303,12.826298,56.245748,12.863881
1293,Hässleholms kommun,Skåne län,51667,1306.39,1268.97,37.42,0.00,40.72,56.186562,13.8253232,56.1373,13.7272251,56.1589145,13.7667655
1315,Hylte kommun,Hallands län,10954,1046.60,946.53,100.07,0.00,11.57,57.113513,13.6937639,56.823528,13.2398811,56.9546839,13.5284689
1380,Halmstads kommun,Hallands län,98538,1699.98,1013.97,16.98,668.94,97.18,56.68109068,12.88518248,56.67839272,12.88248452,56.6797417,12.8838335
1381,Laholms kommun,Hallands län,24664,963.40,882.80,19.34,61.25,27.94,56.5194049,13.0651259,56.4916209,13.0074661,56.5057557,13.0456048
1382,Falkenbergs kommun,Hallands län,43867,1825.90,1108.53,47.81,669.38,39.57,56.935332,12.585301,56.861647,12.4059,56.9027333,12.4888013
1383,Varbergs kommun,Hallands län,61868,1703.46,868.62,41.03,793.71,71.23,57.11013958,12.25583208,57.10744162,12.25313412,57.1087906,12.2544831
1384,Kungsbacka kommun,Hallands län,80442,1472.93,606.60,35.17,831.17,132.61,57.5039972,12.0837738,57.5031332,12.0810775,57.5035562,12.0823342
1401,Härryda kommun,Västra Götalands län,37108,291.66,266.70,24.96,0.00,139.14,57.7393089,12.565781,57.588192,12.0672281,57.660155,12.2915063
1402,Partille kommun,Västra Götalands län,37316,58.41,56.80,1.61,0.00,656.97,57.774382,12.168854,57.7293309,12.0923229,57.7366497,12.1251968
1407,Öckerö kommun,Västra Götalands län,12773,511.42,25.75,0.13,485.53,496.04,57.8039719,11.713709,57.6534621,11.5190691,57.711741,11.6487886
1415,Stenungsunds kommun,Västra Götalands län,25815,301.05,251.87,14.02,35.21,102.49,58.103684,11.890088,58.038663,11.7985215,58.0678388,11.8294346
1419,Tjörns kommun,Västra Götalands län,15584,845.93,167.36,0.79,677.80,93.12,58.0972847,11.7974173,57.906848,11.4397657,58.0410195,11.6836708
1421,Orusts kommun,Västra Götalands län,15093,883.11,386.49,4.54,491.96,39.05,58.3125169,11.8641609,58.0564579,11.3256901,58.1866415,11.6069189
1427,Sotenäs kommun,Västra Götalands län,9065,684.37,138.20,1.23,544.94,65.59,58.502153,11.4629181,58.2854732,11.1821058,58.4401392,11.3614392
1430,Munkedals kommun,Västra Götalands län,10361,675.04,634.02,33.67,7.33,16.34,58.4954021,11.71191,58.449742,11.6544327,58.4715051,11.6801923
1435,Tanums kommun,Västra Götalands län,12606,2351.37,917.21,37.63,1396.53,13.74,58.910364,11.7611478,58.476428,11.0617413,58.7327267,11.4578192
1438,Dals-Eds kommun,Västra Götalands län,4777,825.43,724.31,101.12,0.00,6.60,59.2575091,12.1578899,58.750376,11.6143729,58.9743879,11.8651749
1439,Färgelanda kommun,Västra Götalands län,6627,618.32,588.98,29.34,0.00,11.25,58.6524456,12.0560607,58.6505114,12.05402,58.6513706,12.0548287
