country,capital,continent,alternative_name,english
Afghanistan,Kabul,Asien,,Afghanistan
Albanien,Tirana,Europa,,Albania
Algeriet,Alger,Afrika,,Algeria
Andorra,Andorra la Vella,Europa,,Andorra
Angola,Luanda,Afrika,,Angola
Antigua och Barbuda,Saint John's,Nordamerika,,Antigua and Barbuda
Argentina,Buenos Aires,Sydamerika,,Argentina
Armenien,Jerevan,Asien/Europa,,Armenia
Australien,Canberra,Oceanien,,Australia
Azerbajdzjan,Baku,Asien/Europa,,Azerbaijan
Bahamas,Nassau,Nordamerika,,The Bahamas
Bahrain,Manama,Asien,,Bahrain
Bangladesh,Dhaka,Asien,,Bangladesh
Barbados,Bridgetown,Nordamerika,,Barbados
Belgien,Bryssel,Europa,,Belgium
Belize,Belmopan,Nordamerika,,Belize
Benin,Porto-Novo,Afrika,,Benin
Bhutan,Thimphu,Asien,,Bhutan
Bolivia,Sucre,Sydamerika,,Bolivia
Bosnien och Hercegovina,Sarajevo,Europa,,Bosnia and Herzegovina
Botswana,Gaborone,Afrika,,Botswana
Brasilien,Brasília,Sydamerika,,Brazil
Brunei,Bandar Seri Begawan,Asien,,Brunei
Bulgarien,Sofia,Europa,,Bulgaria
Burkina Faso,Ouagadougou,Afrika,,Burkina Faso
Burma,Naypyidaw,Asien,Myanmar,Burma
Burundi,Bujumbura,Afrika,,Burundi
Centralafrikanska republiken,Bangui,Afrika,,Central African Republic
Chile,Santiago de Chile,Sydamerika,,Chile
Colombia,Bogotá,Sydamerika,,Colombia
Cooköarna,Avarua,Oceanien,,Cook Islands
Costa Rica,San José,Nordamerika,,Costa Rica
Cypern,Nicosia,Asien/Europa,,Cyprus
Danmark,Köpenhamn,Europa,,Denmark
Djibouti,Djibouti,Afrika,,Djibouti
Dominica,Roseau,Nordamerika,,Dominica
Dominikanska republiken,Santo Domingo,Nordamerika,,Dominican Republic
Ecuador,Quito,Sydamerika,,Ecuador
Egypten,Kairo,Afrika,,Egypt
Ekvatorialguinea,Malabo,Afrika,,Equatorial Guinea
El Salvador,San Salvador,Nordamerika,,El Salvador
Elfenbenskusten,Yamoussoukro,Afrika,,Ivory Coast
Eritrea,Asmara,Afrika,,Eritrea
Estland,Tallinn,Europa,,Estonia
Etiopien,Addis Abeba,Afrika,,Ethiopia
Fiji,Suva,Oceanien,,Fiji
Filippinerna,Manila,Asien,,Philippines
Finland,Helsingfors,Europa,,Finland
Frankrike,Paris,Europa,,France
Förenade Arabemiraten,Abu Dhabi,Asien,,United Arab Emirates
Gabon,Libreville,Afrika,,Gabon
Gambia,Banjul,Afrika,,The Gambia
Georgien,Tbilisi,Asien/Europa,,Georgia
Ghana,Accra,Afrika,,Ghana
Grekland,Aten,Europa,,Greece
Grenada,Saint George's,Nordamerika,,Grenada
Grönland,Nuuk,Nordamerika,,Greenland
Guatemala,Guatemala City,Nordamerika,,Guatemala
Guinea,Conakry,Afrika,,Guinea
Guinea-Bissau,Bissau,Afrika,,Guinea-Bissau
Guyana,Georgetown,Sydamerika,,Guyana
Haiti,Port-au-Prince,Nordamerika,,Haiti
Honduras,Tegucigalpa,Nordamerika,,Honduras
Indien,New Delhi,Asien,,India
Indonesien,Jakarta,Asien,,Indonesia
Irak,Bagdad,Asien,,Iraq
Iran,Teheran,Asien,,Iran
Irland,Dublin,Europa,,Ireland
Island,Reykjavik,Europa,,Iceland
Israel,Jerusalem,Asien,,Israel
Italien,Rom,Europa,,Italy
Jamaica,Kingston,Nordamerika,,Jamaica
Japan,Tokyo prefektur,Asien,,Japan
Jemen,Sanaa,Asien,,Yemen
Jordanien,Amman,Asien,,Jordan
Kambodja,Phnom Penh,Asien,,Cambodia
Kamerun,Yaoundé,Afrika,,Cameroon
Kanada,Ottawa,Nordamerika,,Canada
Kap Verde,Praia,Afrika,,Cap Verde
Kazakstan,Astana,Asien,,Kazakhstan
Kenya,Nairobi,Afrika,,Kenya
Kina,Peking,Asien,,China
Kirgizistan,Bisjkek,Asien,,Kyrgyzstan
Kiribati,South Tarawa,Oceanien,,Kiribati
Komorerna,Moroni,Afrika,,Comoros
Kongo-Brazzaville,Brazzaville,Afrika,,Kongo-Brazzaville
Kongo-Kinshasa,Kinshasa,Afrika,,Democratic Republic of the Congo
Kosovo,Pristina,Europa,,Kosovo
Kroatien,Zagreb,Europa,,Croatia
Kuba,Havanna,Nordamerika,,Cuba
Kuwait,Kuwait,Asien,,Kuwait
Laos,Vientiane,Asien,,Laos
Lesotho,Maseru,Afrika,,Lesotho
Lettland,Riga,Europa,,Latvia
Libanon,Beirut,Asien,,Lebanon
Liberia,Monrovia,Afrika,,Liberia
Libyen,Tripoli,Afrika,,Libya
Liechtenstein,Vaduz,Europa,,Liechtenstein
Litauen,Vilnius,Europa,,Lithuania
Luxemburg,Luxemburg,Europa,,Luxembourg
Madagaskar,Antananarivo,Afrika,,Madagascar
Malawi,Lilongwe,Afrika,,Malawi
Malaysia,Kuala Lumpur,Asien,,Malaysia
Maldiverna,Malé,Asien,,Maldives
Mali,Bamako,Afrika,,Mali
Malta,Valletta,Europa,,Malta
Marocko,Rabat,Afrika,,Morocco
Marshallöarna,Majuro,Oceanien,,Marshall Islands
Mauretanien,Nouakchott,Afrika,,Mauretania
Mauritius,Port Louis,Afrika,,Mauritius
Mexiko,Mexico City,Nordamerika,,Mexico
Mikronesien,Palikir,Oceanien,,Micronesia
Moçambique,Maputo,Afrika,,Mozambique
Moldavien,Chișinău,Europa,,Moldova
Monaco,Monaco,Europa,,Monaco
Mongoliet,Ulan Bator,Asien,,Mongolia
Montenegro,Podgorica,Europa,,Montenegro
Namibia,Windhoek,Afrika,,Namibia
Nauru,Yaren,Oceanien,,Nauru
Nederländerna,Amsterdam,Europa,,Netherlands
Nepal,Katmandu,Asien,,Nepal
Nicaragua,Managua,Nordamerika,,Nicaragua
Niger,Niamey,Afrika,,Niger
Nigeria,Abuja,Afrika,,Nigeria
Niue,Alofi,Oceanien,,Niue
Nordkorea,Pyongyang,Asien,,North Korea
Nordmakedonien,Skopje,Europa,Makedonien,North Macedonia
Norge,Oslo,Europa,,Norway
Nya Zeeland,Wellington,Oceanien,,New Zealand
Oman,Muskat,Asien,,Oman
Pakistan,Islamabad,Asien,,Pakistan
Palau,Ngerulmud,Oceanien,,Palau
Panama,Panama City,Nordamerika,,Panama
Papua Nya Guinea,Port Moresby,Oceanien,,Papua New Guinea
Paraguay,Asunción,Sydamerika,,Paraguay
Peru,Lima,Sydamerika,,Peru
Polen,Warszawa,Europa,,Poland
Portugal,Lissabon,Europa,,Portugal
Qatar,Doha,Asien,,Qatar
Rumänien,Bukarest,Europa,,Romania
Rwanda,Kigali,Afrika,,Rwanda
Ryssland,Moskva,Asien/Europa,,Russia
Saint Kitts och Nevis,Basseterre,Nordamerika,,Saint Kitts and Nevis
Saint Lucia,Castries,Nordamerika,,Saint Lucia
Saint Vincent och Grenadinerna,Kingstown,Nordamerika,,Saint Vincent and the Grenadines
Salomonöarna,Honiara,Oceanien,,Salomon Islands
Samoa,Apia,Oceanien,,Samoa
San Marino,San Marino,Europa,,San Marino
São Tomé och Príncipe,São Tomé,Afrika,,São Tomé and Príncipe
Saudiarabien,Riyadh,Asien,,Saudi Arabia
Schweiz,Bern,Europa,,Switzerland
Senegal,Dakar,Afrika,,Senegal
Serbien,Belgrad,Europa,,Serbia
Seychellerna,Victoria,Afrika,,Seychelles
Sierra Leone,Freetown,Afrika,,Sierra Leone
Singapore,Singapore,Asien,,Singapore
Slovakien,Bratislava,Europa,,Slovakia
Slovenien,Ljubljana,Europa,,Slovenia
Somalia,Mogadishu,Afrika,,Somalia
Somaliland,Hargeisa,Afrika,,Somaliland
Spanien,Madrid,Europa,,Spain
Sri Lanka,Colombo,Asien,,Sri Lanka
Storbritannien,London,Europa,,Great Britain
Sudan,Khartoum,Afrika,,Sudan
Surinam,Paramaribo,Sydamerika,,Suriname
Sverige,Stockholm,Europa,,Sweden
Swaziland,Mbabane,Afrika,Eswatini,Eswatini
Sydafrika,Pretoria,Afrika,,South Africa
Sydkorea,Seoul,Asien,,South Korea
Sydsudan,Juba,Afrika,,South Sudan
Syrien,Damaskus,Asien,,Syria
Tadzjikistan,Dusjanbe,Asien,,Tajikistan
Taiwan,Taipei,Asien,,Taiwan
Tanzania,Dodoma,Afrika,,Tanzania
Tchad,N'Djamena,Afrika,,Chad
Thailand,Bangkok,Asien,,Thailand
Tjeckien,Prag,Europa,,Czech Republic
Togo,Lomé,Afrika,,Togo
Tonga,Nuku'alofa,Oceanien,,Tongo
Trinidad och Tobago,Port of Spain,Nordamerika,,Trinidad and Tobago
Tunisien,Tunis,Afrika,,Tunisia
Turkiet,Ankara,Asien/Europa,,Turkey
Turkmenistan,Asjchabad,Asien,,Turkmenistan
Tuvalu,Funafuti,Oceanien,,Tuvalu
Tyskland,Berlin,Europa,,Germany
Uganda,Kampala,Afrika,,Uganda
Ukraina,Kiev,Europa,,Ukraine
Ungern,Budapest,Europa,,Hungary
Uruguay,Montevideo,Sydamerika,,Uruguay
USA,Washington D.C.,Nordamerika,United States,USA
Uzbekistan,Tasjkent,Asien,,Uzbekistan
Vanuatu,Port Vila,Oceanien,,Vanuatu
Vatikanstaten,Vatikanstaten,Europa,,Vatican City
Venezuela,Caracas,Sydamerika,,Venezuela
Vietnam,Hanoi,Asien,,Vietnam
Vitryssland,Minsk,Europa,,Belarus
Västsahara,Al-Ayun,Afrika,,Western Sahara
Zambia,Lusaka,Afrika,,Zambia
Zimbabwe,Harare,Afrika,,Zimbabwe
Österrike,Wien,Europa,,Austria
Östtimor,Dili,Asien,,East Timor